session_id,pattern,t,x,vx,input_left,input_right
noisy_sine_005,noisy_sine,0.0,126.285,0.0,0,1
noisy_sine_005,noisy_sine,0.01667,127.785,90.0,0,1
noisy_sine_005,noisy_sine,0.03333,129.285,90.0,0,1
noisy_sine_005,noisy_sine,0.05,130.785,90.0,0,1
noisy_sine_005,noisy_sine,0.06667,132.285,90.0,0,1
noisy_sine_005,noisy_sine,0.08333,133.785,90.0,0,1
noisy_sine_005,noisy_sine,0.1,135.285,90.0,0,1
noisy_sine_005,noisy_sine,0.11667,136.785,90.0,0,1
noisy_sine_005,noisy_sine,0.13333,138.285,90.0,0,1
noisy_sine_005,noisy_sine,0.15,139.785,90.0,0,1
noisy_sine_005,noisy_sine,0.16667,141.285,90.0,0,1
noisy_sine_005,noisy_sine,0.18333,142.785,90.0,0,1
noisy_sine_005,noisy_sine,0.2,144.285,90.0,0,1
noisy_sine_005,noisy_sine,0.21667,145.785,90.0,0,1
noisy_sine_005,noisy_sine,0.23333,147.285,90.0,0,1
noisy_sine_005,noisy_sine,0.25,148.785,90.0,0,1
noisy_sine_005,noisy_sine,0.26667,150.285,90.0,0,1
noisy_sine_005,noisy_sine,0.28333,151.785,90.0,0,1
noisy_sine_005,noisy_sine,0.3,153.285,90.0,0,1
noisy_sine_005,noisy_sine,0.31667,154.785,90.0,0,1
noisy_sine_005,noisy_sine,0.33333,156.285,90.0,0,1
noisy_sine_005,noisy_sine,0.35,157.785,90.0,0,1
noisy_sine_005,noisy_sine,0.36667,159.285,90.0,0,1
noisy_sine_005,noisy_sine,0.38333,160.785,90.0,0,1
noisy_sine_005,noisy_sine,0.4,162.285,90.0,0,1
noisy_sine_005,noisy_sine,0.41667,163.785,90.0,0,0
noisy_sine_005,noisy_sine,0.43333,163.785,0.0,0,0
noisy_sine_005,noisy_sine,0.45,163.785,0.0,0,0
noisy_sine_005,noisy_sine,0.46667,163.785,0.0,0,0
noisy_sine_005,noisy_sine,0.48333,163.785,0.0,0,1
noisy_sine_005,noisy_sine,0.5,165.285,90.0,0,1
noisy_sine_005,noisy_sine,0.51667,166.785,90.0,0,0
noisy_sine_005,noisy_sine,0.53333,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.55,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.56667,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.58333,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.6,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.61667,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.63333,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.65,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.66667,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.68333,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.7,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.71667,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.73333,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.75,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.76667,166.785,0.0,0,0
noisy_sine_005,noisy_sine,0.78333,166.785,0.0,0,1
noisy_sine_005,noisy_sine,0.8,168.285,90.0,1,0
noisy_sine_005,noisy_sine,0.81667,166.785,-90.0,1,0
noisy_sine_005,noisy_sine,0.83333,165.285,-90.0,1,0
noisy_sine_005,noisy_sine,0.85,163.785,-90.0,0,0
noisy_sine_005,noisy_sine,0.86667,163.785,0.0,0,0
noisy_sine_005,noisy_sine,0.88333,163.785,0.0,0,0
noisy_sine_005,noisy_sine,0.9,163.785,0.0,0,0
noisy_sine_005,noisy_sine,0.91667,163.785,0.0,0,0
noisy_sine_005,noisy_sine,0.93333,163.785,0.0,1,0
noisy_sine_005,noisy_sine,0.95,162.285,-90.0,0,0
noisy_sine_005,noisy_sine,0.96667,162.285,0.0,0,0
noisy_sine_005,noisy_sine,0.98333,162.285,0.0,0,0
noisy_sine_005,noisy_sine,1.0,162.285,0.0,1,0
noisy_sine_005,noisy_sine,1.01667,160.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.03333,160.785,0.0,0,0
noisy_sine_005,noisy_sine,1.05,160.785,0.0,1,0
noisy_sine_005,noisy_sine,1.06667,159.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.08333,159.285,0.0,0,0
noisy_sine_005,noisy_sine,1.1,159.285,0.0,1,0
noisy_sine_005,noisy_sine,1.11667,157.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.13333,157.785,0.0,0,0
noisy_sine_005,noisy_sine,1.15,157.785,0.0,1,0
noisy_sine_005,noisy_sine,1.16667,156.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.18333,156.285,0.0,1,0
noisy_sine_005,noisy_sine,1.2,154.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.21667,154.785,0.0,0,0
noisy_sine_005,noisy_sine,1.23333,154.785,0.0,1,0
noisy_sine_005,noisy_sine,1.25,153.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.26667,153.285,0.0,1,0
noisy_sine_005,noisy_sine,1.28333,151.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.3,151.785,0.0,0,0
noisy_sine_005,noisy_sine,1.31667,151.785,0.0,1,0
noisy_sine_005,noisy_sine,1.33333,150.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.35,150.285,0.0,1,0
noisy_sine_005,noisy_sine,1.36667,148.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.38333,148.785,0.0,0,0
noisy_sine_005,noisy_sine,1.4,148.785,0.0,1,0
noisy_sine_005,noisy_sine,1.41667,147.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.43333,147.285,0.0,1,0
noisy_sine_005,noisy_sine,1.45,145.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.46667,145.785,0.0,1,0
noisy_sine_005,noisy_sine,1.48333,144.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.5,144.285,0.0,1,0
noisy_sine_005,noisy_sine,1.51667,142.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.53333,142.785,0.0,1,0
noisy_sine_005,noisy_sine,1.55,141.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.56667,141.285,0.0,1,0
noisy_sine_005,noisy_sine,1.58333,139.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.6,139.785,0.0,1,0
noisy_sine_005,noisy_sine,1.61667,138.285,-90.0,0,0
noisy_sine_005,noisy_sine,1.63333,138.285,0.0,1,0
noisy_sine_005,noisy_sine,1.65,136.785,-90.0,0,0
noisy_sine_005,noisy_sine,1.66667,136.785,0.0,1,0
