session_id,pattern,t,x,vx,input_left,input_right
ping_pong_003,ping_pong,0.0,42.739,0.0,0,1
ping_pong_003,ping_pong,0.01667,44.239,90.0,0,1
ping_pong_003,ping_pong,0.03333,45.739,90.0,0,1
ping_pong_003,ping_pong,0.05,47.239,90.0,0,1
ping_pong_003,ping_pong,0.06667,48.739,90.0,0,1
ping_pong_003,ping_pong,0.08333,50.239,90.0,0,1
ping_pong_003,ping_pong,0.1,51.739,90.0,0,1
ping_pong_003,ping_pong,0.11667,53.239,90.0,0,1
ping_pong_003,ping_pong,0.13333,54.739,90.0,0,1
ping_pong_003,ping_pong,0.15,56.239,90.0,0,1
ping_pong_003,ping_pong,0.16667,57.739,90.0,0,1
ping_pong_003,ping_pong,0.18333,59.239,90.0,0,1
ping_pong_003,ping_pong,0.2,60.739,90.0,0,1
ping_pong_003,ping_pong,0.21667,62.239,90.0,0,1
ping_pong_003,ping_pong,0.23333,63.739,90.0,0,1
ping_pong_003,ping_pong,0.25,65.239,90.0,0,1
ping_pong_003,ping_pong,0.26667,66.739,90.0,0,1
ping_pong_003,ping_pong,0.28333,68.239,90.0,0,1
ping_pong_003,ping_pong,0.3,69.739,90.0,0,1
ping_pong_003,ping_pong,0.31667,71.239,90.0,0,1
ping_pong_003,ping_pong,0.33333,72.739,90.0,0,1
ping_pong_003,ping_pong,0.35,74.239,90.0,0,1
ping_pong_003,ping_pong,0.36667,75.739,90.0,0,1
ping_pong_003,ping_pong,0.38333,77.239,90.0,0,1
ping_pong_003,ping_pong,0.4,78.739,90.0,0,1
ping_pong_003,ping_pong,0.41667,80.239,90.0,0,1
ping_pong_003,ping_pong,0.43333,81.739,90.0,0,1
ping_pong_003,ping_pong,0.45,83.239,90.0,0,1
ping_pong_003,ping_pong,0.46667,84.739,90.0,0,1
ping_pong_003,ping_pong,0.48333,86.239,90.0,0,1
ping_pong_003,ping_pong,0.5,87.739,90.0,0,1
ping_pong_003,ping_pong,0.51667,89.239,90.0,0,1
ping_pong_003,ping_pong,0.53333,90.739,90.0,0,1
ping_pong_003,ping_pong,0.55,92.239,90.0,0,1
ping_pong_003,ping_pong,0.56667,93.739,90.0,0,1
ping_pong_003,ping_pong,0.58333,95.239,90.0,0,1
ping_pong_003,ping_pong,0.6,96.739,90.0,0,1
