session_id,pattern,t,x,vx,input_left,input_right
sine_001,sine,0.0,6.079,0.0,0,1
sine_001,sine,0.01667,7.579,90.0,0,1
sine_001,sine,0.03333,9.079,90.0,0,1
sine_001,sine,0.05,10.579,90.0,0,1
sine_001,sine,0.06667,12.079,90.0,0,1
sine_001,sine,0.08333,13.579,90.0,0,1
sine_001,sine,0.1,15.079,90.0,0,1
sine_001,sine,0.11667,16.579,90.0,0,1
sine_001,sine,0.13333,18.079,90.0,0,1
sine_001,sine,0.15,19.579,90.0,0,1
sine_001,sine,0.16667,21.079,90.0,0,1
sine_001,sine,0.18333,22.579,90.0,0,1
sine_001,sine,0.2,24.079,90.0,0,1
sine_001,sine,0.21667,25.579,90.0,0,1
sine_001,sine,0.23333,27.079,90.0,0,1
sine_001,sine,0.25,28.579,90.0,0,1
sine_001,sine,0.26667,30.079,90.0,0,1
sine_001,sine,0.28333,31.579,90.0,0,1
sine_001,sine,0.3,33.079,90.0,0,1
sine_001,sine,0.31667,34.579,90.0,0,1
sine_001,sine,0.33333,36.079,90.0,0,1
sine_001,sine,0.35,37.579,90.0,0,1
sine_001,sine,0.36667,39.079,90.0,0,1
sine_001,sine,0.38333,40.579,90.0,0,1
sine_001,sine,0.4,42.079,90.0,0,1
sine_001,sine,0.41667,43.579,90.0,0,1
sine_001,sine,0.43333,45.079,90.0,0,1
sine_001,sine,0.45,46.579,90.0,0,1
sine_001,sine,0.46667,48.079,90.0,0,1
sine_001,sine,0.48333,49.579,90.0,0,1
sine_001,sine,0.5,51.079,90.0,0,1
sine_001,sine,0.51667,52.579,90.0,0,1
sine_001,sine,0.53333,54.079,90.0,0,1
sine_001,sine,0.55,55.579,90.0,0,1
sine_001,sine,0.56667,57.079,90.0,0,1
sine_001,sine,0.58333,58.579,90.0,0,1
sine_001,sine,0.6,60.079,90.0,0,1
sine_001,sine,0.61667,61.579,90.0,0,1
sine_001,sine,0.63333,63.079,90.0,0,1
sine_001,sine,0.65,64.579,90.0,0,1
